Date,Open,High,Low,Close,Volume
2024-08-03,146.54,147.88,145.31,147.74,25464038
2024-08-04,148.43,149.23,147.51,147.77,21641194
2024-08-05,146.99,147.44,146.77,146.92,11238561
2024-08-06,146.01,146.92,144.5,144.8,3386228
2024-08-07,146.95,147.38,146.53,147.0,13214967
2024-08-08,146.57,146.83,146.19,146.37,12436901
2024-08-09,144.81,145.89,144.68,145.28,43591304
2024-08-10,147.71,148.09,146.78,146.96,5462307
2024-08-11,145.31,145.69,144.8,145.12,30195196
2024-08-12,143.6,143.64,143.07,143.21,29264078
2024-08-13,143.79,144.35,142.5,143.48,37603205
2024-08-14,144.19,145.75,144.12,144.85,47068177
2024-08-15,146.83,147.07,145.66,145.98,12824386
2024-08-16,144.7,146.25,144.04,145.55,2057940
2024-08-17,144.5,144.73,143.98,144.14,15100129
2024-08-18,146.19,147.62,146.02,146.62,46347287
2024-08-19,151.41,151.98,151.34,151.67,46916708
2024-08-20,152.98,154.4,152.94,153.23,6078285
2024-08-21,153.07,153.67,152.77,153.49,49205320
2024-08-22,154.31,154.98,153.67,154.69,10681201
2024-08-23,155.25,155.51,154.0,154.18,34501785
2024-08-24,154.31,154.65,154.21,154.48,40048755
2024-08-25,154.25,154.69,153.43,153.94,49407570
2024-08-26,153.8,154.03,153.15,153.78,30519446
2024-08-27,155.35,155.39,153.75,154.07,10513437
2024-08-28,154.94,155.33,153.76,154.58,18562584
2024-08-29,155.09,155.19,153.45,154.24,26994797
2024-08-30,157.99,158.27,155.87,156.88,2240187
2024-08-31,157.26,157.27,156.41,156.74,45620302
2024-09-01,158.21,159.02,157.8,157.85,11413729
2024-09-02,159.97,160.4,159.35,159.58,5189472
2024-09-03,161.38,162.9,161.36,161.66,24063838
2024-09-04,158.98,159.85,158.69,159.69,19587508
2024-09-05,160.35,160.92,159.81,160.5,46267652
2024-09-06,161.73,161.78,161.15,161.71,36429683
2024-09-07,161.19,162.35,160.88,162.34,40152146
2024-09-08,161.71,162.64,160.87,161.94,32723656
2024-09-09,163.73,164.51,163.36,164.08,35120946
2024-09-10,163.27,164.02,162.62,163.23,2438567
2024-09-11,164.27,164.51,163.07,163.87,4105557
2024-09-12,163.7,163.9,163.5,163.65,9502227
2024-09-13,164.3,165.5,163.63,164.84,22962250
2024-09-14,166.58,167.04,165.44,166.21,40787801
2024-09-15,163.32,164.43,162.92,164.03,47630344
2024-09-16,161.3,161.77,160.96,161.61,30309015
2024-09-17,160.73,161.79,160.38,161.36,30754996
2024-09-18,160.23,161.06,159.97,160.9,40552540
2024-09-19,161.08,161.61,161.07,161.55,49394686
2024-09-20,162.42,163.13,162.29,162.66,2368930
2024-09-21,161.5,161.51,160.52,160.99,41583032
2024-09-22,160.18,160.49,159.77,159.88,23359763
2024-09-23,159.15,161.39,158.92,159.9,11494159
2024-09-24,164.3,164.43,163.63,164.04,27635737
2024-09-25,162.02,162.07,161.87,161.88,14862293
2024-09-26,162.98,163.34,161.97,162.1,32612914
2024-09-27,162.22,163.96,161.67,162.97,30866145
2024-09-28,163.8,164.73,163.58,164.27,39065401
2024-09-29,165.94,166.06,164.24,164.43,43281388
2024-09-30,164.65,164.78,164.18,164.26,44068407
2024-10-01,164.71,164.96,164.02,164.76,37636137
2024-10-02,165.19,165.4,164.6,164.97,25837014
2024-10-03,165.3,165.85,164.86,165.1,47411910
2024-10-04,166.8,167.23,166.21,166.3,6142503
2024-10-05,164.4,165.24,164.12,164.97,1286171
2024-10-06,163.98,165.57,163.52,164.68,27594886
2024-10-07,165.81,167.21,165.07,166.42,11706186
2024-10-08,166.86,167.04,166.38,166.56,14540197
2024-10-09,165.55,166.86,165.1,166.32,6781076
2024-10-10,165.27,165.5,164.16,165.06,44742092
2024-10-11,165.29,165.7,164.32,164.74,23578820
2024-10-12,165.47,165.87,165.0,165.15,41833793
2024-10-13,164.96,165.99,164.54,165.61,16162435
2024-10-14,167.79,168.57,166.36,166.75,22818556
2024-10-15,168.13,168.43,167.25,167.57,3956157
2024-10-16,170.05,170.14,169.35,169.86,7511312
2024-10-17,169.31,169.48,169.0,169.06,22041760
2024-10-18,172.18,173.02,171.58,172.24,14090157
2024-10-19,173.92,174.18,173.67,173.95,2075293
2024-10-20,175.9,176.75,175.14,175.24,25714744
2024-10-21,172.2,173.26,171.47,172.94,22394592
2024-10-22,174.92,175.09,174.86,174.87,23388878
2024-10-23,171.17,171.77,170.9,171.39,14557529
2024-10-24,172.75,173.42,171.18,171.42,11726240
2024-10-25,165.37,165.85,165.25,165.79,36154936
2024-10-26,165.97,166.04,165.01,165.57,40630713
2024-10-27,166.04,166.89,165.43,166.17,33201478
2024-10-28,166.71,167.14,166.04,166.17,44216259
2024-10-29,164.81,165.41,164.27,165.3,24996600
2024-10-30,165.9,165.95,163.49,164.84,12876001
2024-10-31,160.35,161.13,160.24,161.06,20736158
2024-11-01,161.0,161.89,160.63,161.35,26797202
2024-11-02,160.48,160.64,160.0,160.35,30787329
2024-11-03,162.26,162.77,161.35,161.52,19281006
2024-11-04,163.62,164.2,162.89,164.03,38219187
2024-11-05,167.22,167.27,166.15,166.4,27811420
2024-11-06,165.26,165.63,164.33,164.52,8103341
2024-11-07,163.61,163.64,162.83,163.26,26815320
2024-11-08,162.47,164.32,162.05,163.35,24226641
2024-11-09,165.78,166.33,163.87,164.73,16310210
