Date,Open,High,Low,Close,Volume
2024-08-03,44391.3,44598.26,44177.33,44493.42,26339545
2024-08-04,43865.2,44155.5,43821.3,44097.99,33674265
2024-08-05,44531.81,44641.78,44125.32,44445.57,8401502
2024-08-06,45332.07,45462.51,45168.28,45371.88,35045174
2024-08-07,44455.05,44714.42,44326.49,44666.09,40264245
2024-08-08,44809.65,44911.32,44678.82,44797.99,37133941
2024-08-09,45166.55,45292.61,44819.13,44982.8,3627031
2024-08-10,45178.17,45277.83,45101.56,45113.41,49988131
2024-08-11,45226.45,45332.3,45116.99,45123.44,40069689
2024-08-12,45923.38,46350.5,45919.76,46040.37,26229055
2024-08-13,46763.56,46794.14,46708.83,46739.29,12190386
2024-08-14,46644.62,46685.76,46616.5,46623.61,28090857
2024-08-15,46701.11,46751.63,46412.92,46414.81,41592894
2024-08-16,46557.24,46753.79,46447.27,46714.73,9363123
2024-08-17,46330.46,46618.61,46158.1,46225.22,23553529
2024-08-18,45339.97,45688.61,45232.86,45675.74,16346823
2024-08-19,46021.04,46298.51,45989.61,46220.51,10257164
2024-08-20,46805.92,47114.78,46662.68,46750.73,33581710
2024-08-21,46648.78,46922.56,46630.33,46836.92,19509371
2024-08-22,47062.8,47277.49,46896.22,47148.36,18249741
2024-08-23,46741.04,46911.56,46581.51,46658.04,11608377
2024-08-24,45229.52,46071.09,45191.0,45749.36,16351385
2024-08-25,45315.49,45721.55,45187.22,45649.35,2496506
2024-08-26,45740.42,46053.59,45382.4,45852.8,31440462
2024-08-27,45529.92,45634.29,45485.06,45632.79,1844474
2024-08-28,45633.35,45705.12,45471.6,45538.55,10219386
2024-08-29,45693.29,45741.05,45550.74,45726.51,21979661
2024-08-30,45678.22,45853.51,45534.1,45636.84,28987175
2024-08-31,45750.71,46054.88,45595.82,45855.28,16215329
2024-09-01,46423.97,46445.27,46322.19,46379.85,46984509
2024-09-02,45816.48,45957.54,45619.47,45872.01,48808751
2024-09-03,46900.97,46972.45,46521.4,46697.38,45770809
2024-09-04,45783.28,45870.22,45624.39,45797.75,14293901
2024-09-05,46502.91,46604.26,46291.19,46430.33,14709743
2024-09-06,45384.06,45675.47,45005.56,45328.08,21208129
2024-09-07,45331.67,45378.91,44787.08,45184.66,14896372
2024-09-08,45877.77,45946.06,45724.98,45847.56,46924324
2024-09-09,45932.27,46064.65,45815.59,45948.87,5633147
2024-09-10,45844.33,46024.17,45829.55,45900.69,23581240
2024-09-11,45964.84,46135.54,45924.05,45924.38,3966875
2024-09-12,46767.06,46793.05,46537.51,46590.07,49684621
2024-09-13,46686.04,46950.6,46361.17,46914.7,42998650
2024-09-14,46414.47,47054.56,46380.27,46817.35,49522857
2024-09-15,46931.52,47055.65,46606.95,46644.08,10083608
2024-09-16,47176.7,47330.14,47164.19,47219.08,7920267
2024-09-17,47132.96,47547.05,46913.67,47432.19,46011417
2024-09-18,47339.64,47984.75,47311.28,47767.05,6132725
2024-09-19,46999.36,47246.2,46810.85,47006.48,34190577
2024-09-20,47847.11,47896.22,47766.43,47885.3,35156918
2024-09-21,48202.09,48618.23,47765.66,47984.19,28605285
2024-09-22,48564.42,48745.05,48351.7,48655.28,15717938
2024-09-23,49652.72,49788.52,49370.54,49502.52,29766445
2024-09-24,49890.45,49942.53,49430.43,49560.39,31209410
2024-09-25,49614.25,49906.59,49525.75,49758.88,6602075
2024-09-26,50607.18,50712.01,50239.59,50358.76,48299986
2024-09-27,50791.15,50940.33,50712.07,50744.45,40235001
2024-09-28,50905.68,51064.58,50836.31,51039.54,29165918
2024-09-29,50991.9,51293.72,50825.45,51202.56,1151959
2024-09-30,51305.2,51337.44,50935.4,51124.04,21979173
2024-10-01,51428.19,51551.98,51098.59,51144.76,45776665
2024-10-02,51348.55,51714.25,51132.77,51306.33,20026214
2024-10-03,51952.67,52196.04,51894.88,51993.51,6495747
2024-10-04,52298.34,52594.82,52198.52,52430.76,16053229
2024-10-05,51892.53,52093.66,51883.31,52012.11,18083615
2024-10-06,52016.42,52257.32,51800.93,52132.7,39731611
2024-10-07,52400.09,52481.73,51858.81,51875.43,20080251
2024-10-08,51532.74,51758.2,51438.29,51737.74,47373012
2024-10-09,51405.98,51585.01,50900.01,50934.44,18694257
2024-10-10,51384.77,51476.94,51295.56,51297.0,16682209
2024-10-11,51304.79,51371.8,51182.95,51319.16,40516064
2024-10-12,51847.68,51991.51,51684.06,51800.38,33329293
2024-10-13,51739.49,51898.97,51695.46,51880.2,44315871
2024-10-14,52018.61,52075.23,51756.46,51831.98,29610919
2024-10-15,52774.34,52960.86,52545.79,52899.64,29007904
2024-10-16,52190.47,52312.35,52039.5,52151.46,2347205
2024-10-17,51271.38,51729.5,51235.17,51521.01,42377223
2024-10-18,51891.11,52047.47,51701.33,52004.51,48443341
2024-10-19,52215.9,52396.87,52195.02,52317.13,43301355
2024-10-20,51619.68,51669.55,51214.04,51588.6,9823275
2024-10-21,51018.72,51188.89,50805.43,50859.13,46027476
2024-10-22,50707.84,50854.86,50226.74,50540.83,18300241
2024-10-23,51478.27,51637.19,51011.76,51151.29,48705510
2024-10-24,51284.89,51356.8,51190.82,51256.73,49444248
2024-10-25,51588.07,52038.22,51574.47,51838.87,48086808
2024-10-26,51870.56,52008.68,51709.01,51789.71,44634193
2024-10-27,52002.35,52336.48,51969.56,52166.06,33412871
