Date,Open,High,Low,Close,Volume
2024-08-03,212.57,215.21,210.18,215.13,25464038
2024-08-04,216.55,218.04,214.37,215.15,21641194
2024-08-05,213.42,214.15,212.73,213.28,11238561
2024-08-06,211.28,212.99,208.3,208.71,3386228
2024-08-07,213.24,213.94,212.11,213.35,13214967
2024-08-08,212.39,213.17,211.8,211.95,12436901
2024-08-09,208.57,210.65,208.06,209.57,43591304
2024-08-10,214.7,215.28,212.95,213.11,5462307
2024-08-11,209.54,210.58,208.68,209.13,30195196
2024-08-12,205.83,206.14,204.92,205.0,29264078
2024-08-13,206.19,207.6,203.21,205.53,37603205
2024-08-14,207.0,210.55,206.91,208.41,47068177
2024-08-15,212.58,212.88,209.85,210.76,12824386
2024-08-16,207.98,211.52,206.8,209.81,2057940
2024-08-17,207.51,208.22,206.15,206.73,15100129
2024-08-18,211.05,213.88,210.46,211.97,46347287
2024-08-19,222.15,223.58,222.08,222.69,46916708
2024-08-20,225.45,228.24,225.31,225.98,6078285
2024-08-21,225.6,227.09,225.19,226.49,49205320
2024-08-22,228.17,229.83,226.58,228.99,10681201
2024-08-23,230.14,230.47,227.69,227.85,34501785
2024-08-24,228.08,229.02,228.06,228.44,40048755
2024-08-25,227.9,228.61,226.38,227.24,49407570
2024-08-26,226.88,227.59,225.73,226.85,30519446
2024-08-27,230.15,230.47,226.96,227.42,10513437
2024-08-28,229.22,229.83,226.92,228.45,18562584
2024-08-29,229.49,229.51,226.22,227.67,26994797
2024-08-30,235.63,235.99,231.33,233.26,2240187
2024-08-31,234.02,234.22,232.42,232.9,45620302
2024-09-01,236.0,237.51,234.89,235.23,11413729
2024-09-02,239.7,240.39,238.6,238.86,5189472
2024-09-03,242.66,245.68,242.38,243.26,24063838
2024-09-04,237.5,239.57,237.11,239.0,19587508
2024-09-05,240.36,241.8,239.44,240.68,46267652
2024-09-06,243.25,243.58,241.78,243.21,36429683
2024-09-07,242.06,244.74,241.18,244.49,40152146
2024-09-08,243.11,244.86,241.54,243.6,32723656
2024-09-09,247.36,248.82,246.8,248.12,35120946
2024-09-10,246.34,247.71,245.16,246.24,2438567
